UPID,taxonomy,species_binomial,superkingdom
UP000002311,559292,Saccharomyces_cerevisiae,Eukaryota
UP000000589,10090,Mus_musculus,Eukaryota
UP000000803,7227,Drosophila_melanogaster,Eukaryota
UP000005640,9606,Homo_sapiens,Eukaryota
UP000006548,3702,Arabidopsis_thaliana,Eukaryota
UP000000437,7955,Danio_rerio,Eukaryota
UP000001940,6239,Caenorhabditis_elegans,Eukaryota
UP000059680,39947,Oryza_sativa,Eukaryota
UP000000768,4558,Sorghum_bicolor,Eukaryota
UP000001514,88036,Selaginella_moellendorffii,Eukaryota
UP000001568,436017,Ostreococcus_sp._'lucimarinus',Eukaryota
UP000002009,296587,Micromonas_commoda,Eukaryota
UP000002051,3880,Medicago_truncatula,Eukaryota
UP000004994,4081,Solanum_lycopersicum,Eukaryota
UP000004995,4555,Setaria_italica,Eukaryota
UP000006906,3055,Chlamydomonas_reinhardtii,Eukaryota
UP000007305,4577,Zea_mays,Eukaryota
UP000008022,4529,Oryza_rufipogon,Eukaryota
UP000008810,15368,Brachypodium_distachyon,Eukaryota
UP000008827,3847,Glycine_max,Eukaryota
UP000011116,112509,Hordeum_vulgare,Eukaryota
UP000011750,3711,Brassica_rapa,Eukaryota
UP000012960,214687,Musa_acuminata,Eukaryota
UP000017836,13333,Amborella_trichopoda,Eukaryota
UP000019116,4565,Triticum_aestivum,Eukaryota
UP000036987,29655,Zostera_marina,Eukaryota
UP000054558,105231,Klebsormidium_nitens,Eukaryota
UP000092600,4615,Ananas_comosus,Eukaryota
UP000189702,3635,Gossypium_hirsutum,Eukaryota
UP000192257,67003,Trypanosoma_theileri,Eukaryota
UP000224006,94643,Besnoitia_besnoiti,Eukaryota
UP000228380,42345,Phoenix_dactylifera,Eukaryota
UP000233837,906689,Dendrobium_catenatum,Eukaryota
UP000236161,1088818,Apostasia_shenzhenica,Eukaryota
UP000241769,1890364,Planoprotostelium_fungivorum,Eukaryota
UP000244336,1504633,Panicum_hallii,Eukaryota
UP000265515,69332,Chara_braunii,Eukaryota
UP000275267,4540,Panicum_miliaceum,Eukaryota
UP000298652,4556,Setaria_viridis,Eukaryota
UP000316726,1764295,Chloropicon_primus,Eukaryota
UP000324897,38414,Eragrostis_curvula,Eukaryota
UP000504607,51953,Elaeis_guineensis,Eukaryota
UP000604825,422564,Miscanthus_lutarioriparius,Eukaryota
UP000636800,51239,Vanilla_planifolia,Eukaryota
UP000663760,51605,Spirodela_intermedia,Eukaryota
UP000734854,94328,Zingiber_officinale,Eukaryota
UP000822688,3225,Ceratodon_purpureus,Eukaryota
UP000823388,38727,Panicum_virgatum,Eukaryota
UP000825935,49495,Ceratopteris_richardii,Eukaryota
UP000829196,94219,Dendrobium_nobile,Eukaryota
UP000886520,13818,Adiantum_capillus-veneris,Eukaryota
UP001055439,320322,Musa_troglodytarum,Eukaryota
UP001055712,3077,Chlorella_vulgaris,Eukaryota
UP001085076,325984,Dioscorea_zingiberensis,Eukaryota
UP001150374,2790670,Closterium_sp._NIES-67,Eukaryota
UP001150463,2019903,Closterium_sp._NIES-68,Eukaryota
