assembly,identifier,strata.name,haploid,annotation,group
Zm-B73-REFERENCE-NAM-5.0,Zm00001eb.1,B73,F,NAM,temperate
Zm-B97-REFERENCE-NAM-1.0,Zm00018ab.1,B97,F,NAM,temperate
Zm-CML103-REFERENCE-NAM-1.0,Zm00021ab.1,CML103,F,NAM,tropical
Zm-CML228-REFERENCE-NAM-1.0,Zm00022ab.1,CML228,F,NAM,tropical
Zm-CML247-REFERENCE-NAM-1.0,Zm00023ab.1,CML247,F,NAM,tropical
Zm-CML277-REFERENCE-NAM-1.0,Zm00024ab.1,CML277,F,NAM,tropical
Zm-CML322-REFERENCE-NAM-1.0,Zm00025ab.1,CML322,F,NAM,tropical
Zm-CML333-REFERENCE-NAM-1.0,Zm00026ab.1,CML333,F,NAM,tropical
Zm-CML52-REFERENCE-NAM-1.0,Zm00019ab.1,CML52,F,NAM,tropical
Zm-CML69-REFERENCE-NAM-1.0,Zm00020ab.1,CML69,F,NAM,tropical
Zm-HP301-REFERENCE-NAM-1.0,Zm00027ab.1,Hp301,F,NAM,popcorn
Zm-Il14H-REFERENCE-NAM-1.0,Zm00028ab.1,Il14H,F,NAM,sweetcorn
Zm-Ki11-REFERENCE-NAM-1.0,Zm00030ab.1,Ki11,F,NAM,tropical
Zm-Ki3-REFERENCE-NAM-1.0,Zm00029ab.1,Ki3,F,NAM,tropical
Zm-Ky21-REFERENCE-NAM-1.0,Zm00031ab.1,Ky21,F,NAM,temperate
Zm-M162W-REFERENCE-NAM-1.0,Zm00033ab.1,M162W,F,NAM,temperate
Zm-M37W-REFERENCE-NAM-1.0,Zm00032ab.1,M37W,F,NAM,mixed
Zm-Mo18W-REFERENCE-NAM-1.0,Zm00034ab.1,Mo18W,F,NAM,mixed
Zm-Ms71-REFERENCE-NAM-1.0,Zm00035ab.1,MS71,F,NAM,temperate
Zm-NC350-REFERENCE-NAM-1.0,Zm00036ab.1,NC350,F,NAM,tropical
Zm-NC358-REFERENCE-NAM-1.0,Zm00037ab.1,NC358,F,NAM,tropical
Zm-Oh43-REFERENCE-NAM-1.0,Zm00039ab.1,Oh43,F,NAM,temperate
Zm-Oh7B-REFERENCE-NAM-1.0,Zm00038ab.1,Oh7B,F,NAM,temperate
Zm-P39-REFERENCE-NAM-1.0,Zm00040ab.1,P39,F,NAM,sweetcorn
Zm-Tx303-REFERENCE-NAM-1.0,Zm00041ab.1,Tx303,F,NAM,mixed
Zm-Tzi8-REFERENCE-NAM-1.0,Zm00042ab.1,Tzi8,F,NAM,tropical
Zm-A632-REFERENCE-CAAS_FIL-1.0,Zm00092aa.1,A632,F,CAAS,temperate
Zm-Chang-7_2-REFERENCE-CAAS_FIL-1.0,Zm00093aa.1,Chang7_2,F,CAAS,temperate
Zm-Dan340-REFERENCE-CAAS_FIL-1.0,Zm00094aa.1,Dan340,F,CAAS,temperate
Zm-Huangzaosi-REFERENCE-CAAS_FIL-1.0,Zm00095aa.1,Huangzaosi,F,CAAS,temperate
Zm-Jing724-REFERENCE-CAAS_FIL-1.0,Zm00096aa.1,Jing724,F,CAAS,temperate
Zm-Jing92-REFERENCE-CAAS_FIL-1.0,Zm00097aa.1,Jing92,F,CAAS,temperate
Zm-PH207-REFERENCE-CAAS_FIL-1.0,Zm00099aa.1,PH207,F,CAAS,temperate
Zm-S37-REFERENCE-CAAS_FIL-1.0,Zm00100aa.1,S37,F,CAAS,tropical
Zm-Xu178-REFERENCE-CAAS_FIL-1.0,Zm00101aa.1,Xu178,F,CAAS,temperate
Zm-Ye478-REFERENCE-CAAS_FIL-1.0,Zm00102aa.1,Ye478,F,CAAS,temperate
Zm-Zheng58-REFERENCE-CAAS_FIL-1.0,Zm00103aa.1,Zheng58,F,CAAS,temperate
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0,Av00001aa.1,Anatherum_virginicum,F,PanAnd,Anatherum
Td-FL_9056069_6-REFERENCE-PanAnd-2.0,Td00001bc.1,Tripsacum_dactyloides_FL,T,PanAnd,Tripsacum
Td-KS_B6_1-REFERENCE-PanAnd-2.0,Td00002bc.1,Tripsacum_dactyloides_KS,T,PanAnd,Tripsacum
Zd-Gigi-REFERENCE-PanAnd-1.0,Zd00001aa.1,Zea_diploperennis_Gigi,F,PanAnd,Zea_diploperennis
Zd-Momo-REFERENCE-PanAnd-1.0,Zd00003aa.1,Zea_diploperennis_Momo,F,PanAnd,Zea_diploperennis
Zh-RIMHU001-REFERENCE-PanAnd-1.0,Zh00001aa.1,Zea_mays_huehuetenagensis,F,PanAnd,Zea_mays_huehuetenagensis
Zn-PI615697-REFERENCE-PanAnd-1.0,Zn00001aa.1,Zea_nicaraguensis,F,PanAnd,Zea_nicaraguensis
Zx-TIL18-REFERENCE-PanAnd-1.0,Zx00002aa.1,Zea_mays_mexicana_TIL18,F,PanAnd,Zea_mays_mexicana
Zx-TIL25-REFERENCE-PanAnd-1.0,Zx00003aa.1,Zea_mays_mexicana_TIL25,F,PanAnd,Zea_mays_mexicana
Zv-TIL01-REFERENCE-PanAnd-1.0,Zv00001aa.1,Zea_mays_parviglumis_TIL01,F,PanAnd,Zea_mays_parviglumis
Zv-TIL11-REFERENCE-PanAnd-1.0,Zv00002aa.1,Zea_mays_parviglumis_TIL11,F,PanAnd,Zea_mays_parviglumis
