UPID,taxonomy,species_binomial,superkingdom
UP000000625,83333,Escherichia_coli,Bacteria
UP000002311,559292,Saccharomyces_cerevisiae,Eukaryota
UP000000589,10090,Mus_musculus,Eukaryota
UP000000803,7227,Drosophila_melanogaster,Eukaryota
UP000001570,224308,Bacillus_subtilis,Bacteria
UP000005640,9606,Homo_sapiens,Eukaryota
UP000006548,3702,Arabidopsis_thaliana,Eukaryota
UP000000437,7955,Danio_rerio,Eukaryota
UP000001940,6239,Caenorhabditis_elegans,Eukaryota
UP000059680,39947,Oryza_sativa,Eukaryota
UP000001584,83332,Mycobacterium_tuberculosis,Bacteria
UP000000431,272561,Chlamydia_trachomatis,Bacteria
UP000000483,880072,Desulfobacca_acetoxidans,Bacteria
UP000000590,267377,Methanococcus_maripaludis,Archaea
UP000000718,289376,Thermodesulfovibrio_yellowstonii,Bacteria
UP000000768,4558,Sorghum_bicolor,Eukaryota
UP000000792,436308,Nitrosopumilus_maritimus,Archaea
UP000000799,192222,Campylobacter_jejuni,Bacteria
UP000001029,445932,Elusimicrobium_minutum,Bacteria
UP000001192,391038,Paraburkholderia_phymatum,Bacteria
UP000001369,204536,Sulfurihydrogenibium_azorense,Bacteria
UP000001488,593117,Thermococcus_gammatolerans,Archaea
UP000001514,88036,Selaginella_moellendorffii,Eukaryota
UP000001568,436017,Ostreococcus_sp._'lucimarinus',Eukaryota
UP000001732,309798,Coprothermobacter_proteolyticus,Bacteria
UP000001784,335543,Syntrophobacter_fumaroxidans,Bacteria
UP000001826,190192,Methanopyrus_kandleri,Archaea
UP000001933,56780,Syntrophus_aciditrophicus,Bacteria
UP000002008,324602,Chloroflexus_aurantiacus,Bacteria
UP000002009,296587,Micromonas_commoda,Eukaryota
UP000002027,479434,Sphaerobacter_thermophilus,Bacteria
UP000002051,3880,Medicago_truncatula,Eukaryota
UP000002366,572547,Aminobacterium_colombiense,Bacteria
UP000002402,246197,Myxococcus_xanthus,Bacteria
UP000002415,381764,Fervidobacterium_nodosum,Bacteria
UP000002521,190304,Fusobacterium_nucleatum,Bacteria
UP000002613,589924,Ferroglobus_placidus,Archaea
UP000002709,319225,Pelodictyon_luteolum,Bacteria
UP000003157,100884,Coprobacillus_cateniformis,Bacteria
UP000003416,763034,Bacteroides_fluxus,Bacteria
UP000003705,908338,Peptoniphilus_harei,Bacteria
UP000004671,880073,Caldithrix_abyssi,Bacteria
